RA,Dec
18.3525,29.97014
18.3625,49.80611
18.37,-38.34972
18.3775,-18.31986
18.37792,-7.63486
18.40542,2.36819
18.43708,24.58681
18.44042,7.57875
18.45833,-14.84486
18.4775,39.12847
18.47875,-31.76056
18.51667,-44.46431
18.5225,28.53014
18.56458,71.9925
18.56708,4.43375
18.59125,-41.49764
18.6025,-7.92208
18.67625,-51.60556
18.67667,3.81806
18.69708,-21.30056
18.74,-42.4125
18.75542,-34.00236
18.76875,0.37306
18.78542,-30.78528
18.805,40.96208
18.84167,11.23028
18.92167,-62.82208
18.94042,-68.8725
18.94208,25.335
18.95667,-56.92236
18.965,25.26278
18.98167,-27.74111
18.99833,26.45528
19.04333,7.41944
19.04667,28.5775
19.05542,-15.91319
19.11625,79.90625
19.12417,42.9393
19.13042,-4.85847
19.15208,-2.5
19.15708,-28.19625
19.21042,39.63583
19.22958,25.82708
19.23,6.81153
19.2675,0.00708
19.27458,-73.44236
19.275,24.57764
19.29208,-22.1475
19.3125,10.59597
19.32083,25.44806
19.34292,-31.15097
19.35042,-22.46347
19.3625,5.23458
19.37792,-38.44139
19.39833,-19.73417
19.41667,58.49833
19.41667,-22.40681
19.43958,36.62167
19.44417,-24.72486
19.44958,36.17847
19.465,-54.92236
19.48042,14.62875
19.49,-16.07611
19.495,65.29166
19.49583,27.88389
19.50125,54.53542
19.54167,-56.63389
19.54833,-26.97208
19.57917,2.96583
19.60083,-23.40347
19.62208,-51.26153
19.63083,-14.50333
19.64458,-18.82125
19.64875,-18.72625
19.65333,-73.42486
19.70083,38.60722
19.74917,70.56014
19.7725,-14.98514
19.7825,-32.95417
19.81292,-43.6343
19.82833,-60.41069
19.845,32.04556
19.84875,-26.365
19.87125,-0.14278
19.90125,-28.35708
19.91667,14.88417
19.98208,-20.17375
19.99625,-31.18903
20.0775,-43.91819
20.07833,-44.13014
20.08375,-10.41944
20.09125,-5.18125
20.09458,9.52222
20.11667,38.8218
20.13583,-27.02222
20.13708,-11.46861
20.16333,-30.45875
20.17333,-5.30333
20.17375,15.69486
20.2,-8.44528
20.22625,-30.13222
20.24167,7.23056
20.24292,-13.85
20.2475,-27.02597
20.24833,-24.15042
20.25625,3.73458
20.26542,7.60819
20.26958,-4.03431
20.27667,-39.16819
20.29125,-25.11792
20.29375,-37.49153
20.36584,-13.5575
20.37542,-40.97083
20.415,25.60958
20.45,41.87542
20.45542,-13.96958
20.46458,-28.34667
20.49583,-42.6082
