_2RXS,RAJ2000,DEJ2000,SrcFlux,ALLWISE,W1mag,W2mag,W3mag,W4mag,SepW-2RXS,MatchFlag,_1RXS,_2MASS,Jmag,Hmag,Kmag,Gaia,pmRA,pmDE,__Gmag_
b'2RXS J024751.7-153039',41.96569,-15.51086,7.4012e-13,b'J024752.00-153041.6',9.711,9.733,9.614,8.703,4.2819614,1,b'J024758.8-153120',12771668.0,10.417,9.904,9.781,5157062477502242816,-6.255,-103.918,11
b'2RXS J233231.1-121551',353.12977,-12.26434,1.0906e-11,b'J233230.96-121552.2',6.505,6.372,6.386,6.206,2.7855628,1,b'J233231.1-121551',1278668660.0,7.45,6.769,6.569,2433191881917181952,139.427,-81.222,9
b'2RXS J165005.0-122315',252.52107,-12.38756,6.749e-12,b'J165005.11-122315.9',6.439,6.418,6.472,6.386,1.051658,1,b'J165005.1-122315',1257632766.0,6.816,6.599,6.48,4333742707425287168,-72.853,-105.77,7
b'2RXS J134810.0-104716',207.04193,-10.78793,1.6768e-12,b'J134809.87-104719.5',6.385,6.342,6.415,6.417,4.093449,1,b'J134810.0-104718',292602921.0,6.897,6.562,6.43,3613948382374003712,-256.645,-5.166,8
b'2RXS J123004.6-132334',187.51938,-13.39292,1.4016e-11,b'J123004.59-132335.4',4.812,4.31,4.804,4.77,1.2346818,1,b'J123004.7-132334',1219227664.0,5.238,4.932,4.832,3528362362908431360,-264.501,-50.34,6
b'2RXS J093225.6-111102',143.10673,-11.18412,6.8895e-11,b'J093225.40-111104.3',5.378,5.224,5.373,5.278,3.4770596,1,b'J093225.5-111101',229544090.0,6.075,5.596,5.449,5739942006889651200,-247.996,34.243,7
b'2RXS J204859.5-064452',312.2483,-6.74805,1.1547e-11,b'J204859.60-064456.1',7.157,7.215,7.166,7.218,3.2190073,1,b'J204859.5-064453',134511733.0,7.879,7.403,7.27,6913055149187492864,17.629,-148.715,9
b'2RXS J195805.9-040310',299.52483,-4.05288,6.0638e-12,b'J195805.75-040309.9',7.927,7.949,7.919,7.711,3.019902,1,b'J195805.9-040310',99909899.0,8.582,8.108,8.026,4221528646639909376,-121.326,-10.712,9
b'2RXS J140350.1-041447',210.95884,-4.24651,1.15e-12,b'J140350.20-041448.5',8.351,8.371,8.336,8.049,1.6189457,1,b'J140350.2-041447',259535328.0,8.799,8.44,8.38,3645134861464934400,-120.653,-31.186,9
b'2RXS J001410.1-071159',3.54231,-7.19992,5.998e-12,b'J001410.33-071157.5',6.077,5.955,6.092,6.017,3.4610445,1,b'J001410.1-071200',1178753026.0,6.402,6.17,6.073,2431157716685689856,103.307,-66.09,7
b'2RXS J211702.4-010438',319.26017,-1.07727,1.6946e-12,b'J211702.24-010438.9',6.428,6.346,6.435,6.364,3.0304828,1,b'J211702.5-010439',91643319.0,6.83,6.52,6.43,2689215226029216768,160.693,-24.213,7
b'2RXS J164128.7+011847',250.36973,1.31327,2.0269e-12,b'J164128.98+011846.0',7.146,7.208,7.151,7.222,4.170485,1,b'J164129.6+011902',1010702575.0,7.785,7.372,7.27,4384116076738763776,-133.462,-138.043,9
b'2RXS J155233.7-015423',238.14054,-1.9064,2.5251e-12,b'J155233.67-015422.6',6.332,6.283,6.334,6.232,0.9363944,1,b'J155234.0-015421',293478734.0,6.708,6.428,6.324,4403292246725472256,-115.013,10.801,7
b'2RXS J154809.4+013419',237.03947,1.57214,7.254e-12,b'J154809.33+013416.7',5.4,5.302,5.516,5.44,3.5643919,1,b'J154809.4+013419',1006498059.0,5.991,5.61,5.501,4422809711985931264,-175.976,-166.155,7
b'2RXS J160704.3+023822',241.76828,2.63965,6.3708e-12,b'J160704.17+023825.0',7.14,7.161,7.14,6.91,3.8914974,1,b'J160704.4+023823',987081303.0,7.798,7.336,7.208,4412984750956990976,-143.497,64.436,9
b'2RXS J084442.3+004418',131.17639,0.73838,9.4034e-12,b'J084442.06+004415.7',7.446,7.508,7.462,7.389,4.6916075,1,b'J084442.4+004419',838372375.0,8.314,7.752,7.596,3075319832317716480,-106.38,-5.647,9
b'2RXS J053344.7+015643',83.43644,1.94531,2.966e-11,b'J053344.63+015641.8',6.738,6.58,6.528,6.451,2.0399423,1,b'J053344.4+015644',664906834.0,7.764,7.147,6.855,3223516063958808064,-231.966,-154.103,10
b'2RXS J225621.1+054909',344.088,5.8194,7.4182e-13,b'J225620.80+054910.8',7.311,7.409,7.394,7.326,4.7608366,1,b'J225621.4+054911',1123244699.0,7.837,7.513,7.444,2711347810980089856,143.528,-5.713,8
b'2RXS J211334.6+041403',318.39443,4.23437,5.7722e-12,b'J211334.47+041402.7',7.851,7.883,7.811,7.814,3.001917,1,b'J211334.9+041404',1069748521.0,8.699,8.099,7.91,1732107430840096512,-105.152,-78.164,10
b'2RXS J201311.1+025624',303.2963,2.94012,1.933e-12,b'J201311.09+025620.4',7.173,7.285,7.226,7.165,4.030595,1,b'J201311.2+025624',1084487706.0,8.018,7.465,7.291,4244170133674710528,106.478,19.598,9
b'2RXS J105630.9+072316',164.12893,7.38803,3.5571e-12,b'J105630.63+072317.7',5.191,5.047,5.22,5.167,4.7093773,1,b'J105630.6+072314',845736355.0,5.739,5.348,5.199,3865002243166599680,-256.853,-77.408,7
b'2RXS J100013.3+061500',150.05556,6.25017,6.1e-13,b'J100013.08+061502.4',6.494,6.428,6.544,6.515,4.155291,1,b'J100013.7+061459',855400573.0,6.773,6.592,6.506,3850272257687898112,-112.531,15.688,7
b'2RXS J021157.9+042142',32.9913,4.3619,5.7458e-12,b'J021157.87+042140.9',6.955,7.02,6.992,6.897,1.9717526,1,b'J021157.5+042150',1107844757.0,7.75,7.158,7.035,2518222098255203328,-144.423,-78.941,9
b'2RXS J225236.2+101309',343.15122,10.2194,8.9511e-12,b'J225236.29+101312.3',5.894,5.801,5.877,5.826,2.5276716,1,b'J225236.4+101307',1127094034.0,6.321,6.09,5.986,2717981130270712320,166.61,-91.272,7
b'2RXS J140503.7+100053',211.26563,10.01486,1.3026e-11,b'J140503.58+100049.3',6.496,6.494,6.491,6.338,4.7976937,1,b'J140503.9+100055',976771286.0,7.104,6.651,6.549,3723951153478766592,-187.602,43.74,8
b'2RXS J113249.2+121027',173.2053,12.1743,2.6757e-11,b'J113249.34+121024.9',7.274,7.368,7.338,7.394,2.7619588,1,b'J113249.2+121022',620411674.0,7.854,7.46,7.394,3917248974134197248,-109.176,0.629,9
b'2RXS J093035.9+103606',142.64987,10.60189,2.1821e-11,b'J093035.67+103605.9',6.088,6.331,6.403,6.179,4.4214225,1,b'J093036.5+103603',946838336.0,7.104,6.688,6.551,589720965613854208,-199.66,-12.369,8
b'2RXS J080015.4+134748',120.06432,13.79692,5.7496e-13,b'J080015.53+134746.7',7.187,7.329,7.271,7.374,2.6393902,1,b'',112751465.0,8.024,7.474,7.336,654193475608653568,-54.175,-108.828,9
b'2RXS J043225.9+130648',68.108,13.11348,1.2391e-11,b'J043225.72+130647.4',7.554,7.523,7.433,7.393,2.9958775,1,b'J043225.9+130648',84503183.0,8.423,7.791,7.654,3307504218151520256,104.594,-18.434,10
b'2RXS J042052.9+135155',65.22047,13.86553,7.6215e-12,b'J042052.79+135151.8',5.08,4.921,5.102,5.039,4.345036,1,b'J042052.8+135155',1282755202.0,5.286,5.155,5.062,3310615561179780608,106.063,-14.605,6
b'2RXS J035940.4+101948',59.91855,10.33008,5.5449e-12,b'J035940.59+101949.4',5.354,5.201,5.367,5.295,2.451682,1,b'J035940.5+101946',1122575764.0,5.565,5.391,5.323,3302220274506270208,139.308,-4.864,6
b'2RXS J205710.2+193855',314.29289,19.6488,3.5262e-12,b'J205710.39+193900.1',7.265,7.336,7.33,7.276,4.7226653,1,b'J205710.3+193855',1105462502.0,7.605,7.358,7.297,1813514756363926528,144.421,84.449,8
b'2RXS J130038.5+182224',195.16055,18.37356,1.6326e-12,b'J130038.53+182223.5',5.082,4.914,5.127,5.029,1.2472212,1,b'J130038.5+182220',577233157.0,5.347,5.153,5.104,3940855694940980224,-235.372,59.261,6
b'2RXS J125303.4+193617',193.26433,19.60495,2.0856e-12,b'J125303.77+193618.0',6.416,6.381,6.483,6.385,4.734375,1,b'J125303.4+193618',880801789.0,6.727,6.539,6.483,3942026743543499776,-105.111,-10.364,7
b'2RXS J041042.4+182520',62.67681,18.42227,3.4547e-12,b'J041042.44+182523.3',5.593,5.424,5.607,5.528,3.1601927,1,b'J041042.4+182519',110872861.0,5.795,5.625,5.572,46975431705914112,121.502,-30.925,6
b'2RXS J024727.2+192217',41.86369,19.37166,1.2492e-11,b'J024727.42+192217.9',5.187,5.085,5.314,5.333,1.9225957,1,b'J024727.2+192224',89294963.0,5.868,5.564,5.517,84625630418741760,117.531,-158.877,7
b'2RXS J164502.8+210717',251.26172,21.12151,4.103e-13,b'J164502.86+210717.7',7.479,7.533,7.48,7.246,0.8271001,1,b'',1335724778.0,8.237,7.689,7.579,4564094688412209152,-152.282,11.689,9
b'2RXS J110202.3+223547',165.50999,22.59643,1.3346e-11,b'J110202.16+223545.5',6.606,6.614,6.629,6.448,3.633227,1,b'J110202.4+223546',159635105.0,7.244,6.816,6.705,3994771278400813056,-141.019,3.792,8
b'2RXS J072343.7+202459',110.9322,20.41641,1.1442e-11,b'J072343.54+202456.2',6.807,6.785,6.752,6.567,3.791272,1,b'J072343.6+202500',621377136.0,7.643,7.032,6.879,3363049071685180928,-66.807,-229.659,9
b'2RXS J042618.8+212813',66.57852,21.47033,2.7194e-12,b'J042618.56+212813.0',5.898,5.912,6.093,5.987,3.8556607,1,b'J042618.9+212813',111794406.0,6.342,6.15,6.073,145293177350363264,103.537,-37.869,7
b'2RXS J042414.5+214412',66.06047,21.7367,8.9455e-12,b'J042414.65+214410.0',5.914,5.828,5.91,5.859,2.8302076,1,b'J042414.6+214412',111746060.0,6.148,5.946,5.871,145373372976256512,117.373,-45.796,6
b'2RXS J043851.3+230859',69.71411,23.14979,6.005e-12,b'J043851.36+230859.3',6.159,6.074,6.183,6.195,0.32271662,1,b'J043851.4+230900',350618387.0,6.454,6.198,6.162,146677874804442240,105.493,-54.193,7
b'2RXS J013725.2+250959',24.35513,25.16659,2.775e-12,b'J013724.93+251001.8',4.809,4.702,4.868,4.829,4.530791,1,b'J013725.2+251000',930503857.0,5.38,4.995,4.862,292069733317365504,-212.142,-207.696,6
b'2RXS J165107.2+283600',252.78013,28.60025,2.6274e-12,b'J165107.27+283602.3',7.554,7.64,7.524,7.431,1.5439135,1,b'J165107.2+283601',701928192.0,8.642,7.987,7.809,1308058059800582144,-21.022,118.108,10
