,gls_power
rosat_sc/TIC236743448_s25_pdcsap_sc_tls.h5,"(0.3137146398095945, 0.015910090378419797)"
rosat_sc/TIC165941377_s3_pdcsap_sc_tls.h5,"(0.31290221728816775, 0.018918527280947586)"
rosat_sc/TIC234968549_s1_pdcsap_sc_tls.h5,"(0.30706157462628464, 0.017400752092671168)"
rosat_sc/TIC353595605_s19_pdcsap_sc_tls.h5,"(0.3016171207306215, 0.024644348857393552)"
rosat_sc/TIC320783715_s13_pdcsap_sc_tls.h5,"(0.2963583400944073, 0.01439256966533685)"
rosat_sc/TIC168747450_s16_pdcsap_sc_tls.h5,"(0.29613023889911505, 0.020207913563479642)"
rosat_sc/TIC86038287_s21_pdcsap_sc_tls.h5,"(0.28616483260915376, 0.015074531201186974)"
rosat_sc/TIC115104943_s23_pdcsap_sc_tls.h5,"(0.2816740210965935, 0.021114190726145267)"
rosat_sc/TIC339668420_s3_pdcsap_sc_tls.h5,"(0.2811019761999977, 0.019988791075137517)"
rosat_sc/TIC308646030_s8_pdcsap_sc_tls.h5,"(0.2807214308043831, 0.022942675331287972)"
rosat_sc/TIC100589904_s5_pdcsap_sc_tls.h5,"(0.27789616879287227, 0.01505427801603889)"
rosat_sc/TIC32874669_s6_pdcsap_sc_tls.h5,"(0.26447028285946916, 0.019199149006823398)"
rosat_sc/TIC273792220_s1_pdcsap_sc_tls.h5,"(0.261317090644947, 0.017860418193715866)"
rosat_sc/TIC7981413_s9_pdcsap_sc_tls.h5,"(0.2604506873576564, 0.017008961824954066)"
rosat_sc/TIC77371445_s4_pdcsap_sc_tls.h5,"(0.2567184819664825, 0.02023797679097795)"
rosat_sc/TIC230385278_s14_pdcsap_sc_tls.h5,"(0.25606516990634043, 0.017811902115257204)"
rosat_sc/TIC156074324_s23_pdcsap_sc_tls.h5,"(0.2518603608538512, 0.014929800030069934)"
rosat_sc/TIC139200569_s1_pdcsap_sc_tls.h5,"(0.24875154806728839, 0.016137764399163285)"
rosat_sc/TIC278024057_s1_pdcsap_sc_tls.h5,"(0.23969420714937673, 0.016694704034467805)"
rosat_sc/TIC429251781_s15_pdcsap_sc_tls.h5,"(0.23701221025901473, 0.01798015026914125)"
rosat_sc/TIC154842794_s2_pdcsap_sc_tls.h5,"(0.23333994235921884, 0.01667166434395843)"
rosat_sc/TIC811342167_s8_pdcsap_sc_tls.h5,"(0.22133031394063857, 0.014972361307368962)"
rosat_sc/TIC323688877_s8_pdcsap_sc_tls.h5,"(0.21917221082079089, 0.015624997620627495)"
rosat_sc/TIC174266604_s16_pdcsap_sc_tls.h5,"(0.2153878606979132, 0.016901310868001618)"
rosat_sc/TIC268636197_s3_pdcsap_sc_tls.h5,"(0.21533785313265102, 0.01948541687058116)"
rosat_sc/TIC262841041_s1_pdcsap_sc_tls.h5,"(0.20874582545894327, 0.011344296311156053)"
rosat_sc/TIC118301927_s18_pdcsap_sc_tls.h5,"(0.2038133066177558, 0.01523068030088745)"
rosat_sc/TIC181150051_s10_pdcsap_sc_tls.h5,"(0.2024988122739079, 0.016256274257527778)"
rosat_sc/TIC233310495_s14_pdcsap_sc_tls.h5,"(0.19209292943782047, 0.013576153233885233)"
rosat_sc/TIC1715686796_s14_pdcsap_sc_tls.h5,"(0.1895927093074581, 0.014242056283820907)"
rosat_sc/TIC270526513_s14_pdcsap_sc_tls.h5,"(0.18924905626417546, 0.019673063837430015)"
rosat_sc/TIC95251344_s6_pdcsap_sc_tls.h5,"(0.1677778245216334, 0.012380971375825963)"
rosat_sc/TIC176852917_s4_pdcsap_sc_tls.h5,"(0.16142295100863163, 0.014597733326724913)"
rosat_sc/TIC433936219_s11_pdcsap_sc_tls.h5,"(0.15942069041684698, 0.011678925518852516)"
rosat_sc/TIC161685732_s15_pdcsap_sc_tls.h5,"(0.14342655980278507, 0.007484304317373417)"
rosat_sc/TIC334604570_s16_pdcsap_sc_tls.h5,"(0.13986894260696925, 0.014248683505746667)"
rosat_sc/TIC1718037040_s14_pdcsap_sc_tls.h5,"(0.1312298598512738, 0.008302871714776075)"
rosat_sc/TIC388437250_s18_pdcsap_sc_tls.h5,"(0.12394346550654335, 0.009780639140384548)"
rosat_sc/TIC165471200_s14_pdcsap_sc_tls.h5,"(0.1231758349630452, 0.009032768671797458)"
rosat_sc/TIC164707310_s12_pdcsap_sc_tls.h5,"(0.12198490675943122, 0.008519501430001429)"
rosat_sc/TIC48354645_s14_pdcsap_sc_tls.h5,"(0.11229942227220387, 0.006267277977853028)"
rosat_sc/TIC174440331_s17_pdcsap_sc_tls.h5,"(0.10012749294390329, 0.00615405650727489)"
rosat_sc/TIC15693705_s17_pdcsap_sc_tls.h5,"(0.0994395679381474, 0.011579434402868113)"
rosat_sc/TIC63674732_s18_pdcsap_sc_tls.h5,"(0.09582935777886167, 0.010639654232731046)"
rosat_sc/TIC408191403_s5_pdcsap_sc_tls.h5,"(0.09322574866856602, 0.006683768057764719)"
rosat_sc/TIC388081074_s16_pdcsap_sc_tls.h5,"(0.09063062715920243, 0.009494626575661242)"
rosat_sc/TIC715998838_s6_pdcsap_sc_tls.h5,"(0.08964193773364693, 0.009928173970851049)"
rosat_sc/TIC8198488_s21_pdcsap_sc_tls.h5,"(0.08236443043018699, 0.007123379254202123)"
rosat_sc/TIC355740729_s24_pdcsap_sc_tls.h5,"(0.06850013683568838, 0.006306709831391563)"
rosat_sc/TIC180671254_s22_pdcsap_sc_tls.h5,"(0.06609633870465227, 0.008310643875226462)"
rosat_sc/TIC24437956_s8_pdcsap_sc_tls.h5,"(0.06434555553326411, 0.007497775911262452)"
rosat_sc/TIC189621047_s8_pdcsap_sc_tls.h5,"(0.06116567286269682, 0.0066171856011245445)"
rosat_sc/TIC427346731_s6_pdcsap_sc_tls.h5,"(0.058554978886685594, 0.007019168321610518)"
rosat_sc/TIC184398869_s2_pdcsap_sc_tls.h5,"(0.05833019865081822, 0.005736285561983348)"
rosat_sc/TIC405479191_s1_pdcsap_sc_tls.h5,"(0.045627661165973075, 0.0030372845171976154)"
rosat_sc/TIC169197926_s7_pdcsap_sc_tls.h5,"(0.04538726489505082, 0.004045882019843784)"
rosat_sc/TIC99381773_s15_pdcsap_sc_tls.h5,"(0.045239989856435237, 0.004283111756002253)"
rosat_sc/TIC147562528_s14_pdcsap_sc_tls.h5,"(0.04471372380736426, 0.004491067600985913)"
rosat_sc/TIC17619748_s24_pdcsap_sc_tls.h5,"(0.04133257255558398, 0.0035621137035856355)"
rosat_sc/TIC373316165_s5_pdcsap_sc_tls.h5,"(0.03781962763999934, 0.004601791474117324)"
rosat_sc/TIC44988465_s9_pdcsap_sc_tls.h5,"(0.03402834717797826, 0.004334025695506886)"
rosat_sc/TIC37606355_s6_pdcsap_sc_tls.h5,"(0.033419563120430575, 0.0029645768751374833)"
rosat_sc/TIC115015109_s1_pdcsap_sc_tls.h5,"(0.027567775938866133, 0.0025288417638475494)"
rosat_sc/TIC68660462_s20_pdcsap_sc_tls.h5,"(0.0260808208524426, 0.0019878352765036367)"
rosat_sc/TIC454961439_s11_pdcsap_sc_tls.h5,"(0.02272380646290054, 0.0012008998886442203)"
rosat_sc/TIC86376475_s21_pdcsap_sc_tls.h5,"(0.019835652916044298, 0.002524102041077772)"
rosat_sc/TIC468986279_s7_pdcsap_sc_tls.h5,"(0.016656022741962866, 0.0017331607362195505)"
rosat_sc/TIC427586730_s22_pdcsap_sc_tls.h5,"(0.015907811921406462, 0.0013211192862701007)"
rosat_sc/TIC22953654_s23_pdcsap_sc_tls.h5,"(0.014436673614087148, 0.001238646600660116)"
rosat_sc/TIC178805087_s5_pdcsap_sc_tls.h5,"(0.01166287573833042, 0.0014967562536074722)"
rosat_sc/TIC173924720_s16_pdcsap_sc_tls.h5,"(0.010864609547871908, 0.001320588506617035)"
rosat_sc/TIC119578910_s16_pdcsap_sc_tls.h5,"(0.008846269694145106, 0.0010289812033894923)"
rosat_sc/TIC431124765_s16_pdcsap_sc_tls.h5,"(0.0069444114349735495, 0.0009334360628193582)"
rosat_sc/TIC435878155_s17_pdcsap_sc_tls.h5,"(0.006146704894739857, 0.0007264870692123356)"
rosat_sc/TIC207080123_s1_pdcsap_sc_tls.h5,"(0.005084468109036078, 0.0007371508123771529)"
rosat_sc/TIC386845446_s9_pdcsap_sc_tls.h5,"(0.0009135078852705316, 0.00013786110167263326)"
